track_name,artist_name,released_year,released_month,genre,streams,danceability,energy,valence,acousticness,speechiness,instrumentalness,duration_ms,bpm,key,mode,region
Rain Love 595 (feat. X),Shawn Mendes,2002,1,Rock,9521908,0.351,0.331,0.425,0.025,0.041,0.1746,251339,152,F#,1,Oceania
Night Heart 163 (feat. X),Dua Lipa,2019,8,Indie,7940260,0.307,0.626,0.136,0.221,0.03,0.0558,223305,86,B,0,Global
Dance Sun 82 (feat. X),Ariana Grande,1994,1,Country,3291254,0.682,0.529,0.316,0.49,0.249,0.0816,245630,101,D#,1,Asia
Rain Heart 257 - Live,Taylor Swift,2009,10,Electronic,899439,0.605,0.959,0.482,0.57,0.196,0.0082,210048,118,G,1,Europe
Night Love 192 - Live,Justin Bieber,2014,8,Hip-Hop,13638260,0.378,0.425,0.701,0.294,0.371,0.143,197543,121,F#,1,Global
Love Love 453,Imagine Dragons,2015,9,Pop,2184224,0.497,0.742,0.138,0.1,0.029,0.1716,262375,124,D#,1,Europe
Moon Sun 132Part II,Taylor Swift,2010,8,Hip-Hop,11230352,0.554,0.352,0.387,0.216,0.314,0.0282,237728,115,A,0,Africa
Moon Night 515Part II,Justin Bieber,2015,11,Indie,3496148,0.49,0.535,0.496,0.618,0.369,0.0228,254867,135,G,1,Oceania
Rain Shadow 441,BTS,2003,9,Rock,48855687,0.471,0.482,0.367,0.14,0.37,0.0254,193225,100,A#,1,North America
Fire Heart 275Part II,Post Malone,2004,11,R&B,6970752,0.664,0.75,0.456,0.389,0.025,0.0234,232309,105,E,0,Africa
Rain Light 364,Drake,2012,2,Pop,5894885,0.524,0.491,0.147,0.423,0.025,0.2868,231700,142,B,0,North America
Heart Love 29,The Weeknd,2022,12,Latin,15826863,0.691,0.327,0.499,0.097,0.046,0.0136,228972,129,E,1,Asia
Fire Shadow 506,Bruno Mars,2020,6,Pop,2097868,0.411,0.379,0.521,0.101,0.039,0.008,196762,115,A,0,Africa
Dance Moon 570 (feat. X),Billie Eilish,1994,9,R&B,7052099,0.562,0.663,0.71,0.277,0.058,0.0001,165073,83,E,1,Oceania
Night Night 24,Adele,1991,8,Indie,7665429,0.493,0.619,0.449,0.688,0.017,0.0196,199143,108,F#,1,Asia
Dream Light 182 (feat. X),The Weeknd,2012,7,Country,27922936,0.578,0.367,0.394,0.154,0.203,0.0323,278173,127,A,0,Global
Moon Love 473 (feat. X),Dua Lipa,1990,2,Country,4296528,0.717,0.719,0.67,0.263,0.17,0.0096,195151,89,A#,0,Asia
Stars Moon 104 (feat. X),Post Malone,2005,5,Pop,39917003,0.579,0.648,0.383,0.016,0.154,0.3116,200517,101,G,1,North America
Dream Fire 63,Bad Bunny,2015,7,Rock,771797,0.555,0.629,0.501,0.203,0.315,0.0237,192704,60,B,0,Global
Rain Heart 490Part II,Coldplay,2019,7,R&B,17216000,0.66,0.237,0.327,0.21,0.059,0.0529,262908,127,E,1,North America
Light Rain 245Part II,Indie Artist 45,1996,6,Indie,1675565,0.428,0.697,0.769,0.054,0.244,0.0503,225024,92,C#,1,Oceania
Fire Love 248,Coldplay,2023,2,Rock,29696769,0.818,0.603,0.381,0.219,0.242,0.0035,199839,106,G#,0,Global
Night Dance 101Part II,Shawn Mendes,2016,2,Electronic,618374,0.6,0.571,0.358,0.144,0.07,0.028,210694,137,F#,1,Africa
Night Rain 555 - Live,Drake,1991,7,Pop,796184,0.866,0.655,0.64,0.069,0.08,0.011,174210,102,F,0,Africa
Dance Dance 591 (feat. X),Billie Eilish,2004,12,Country,18090474,0.584,0.563,0.724,0.498,0.154,0.1079,250582,104,G#,1,North America
Night Night 356 - Live,Adele,2014,6,Electronic,3533857,0.473,0.513,0.606,0.319,0.304,0.2126,201471,125,C#,1,Asia
Heart Stars 209,Dua Lipa,2008,12,Hip-Hop,8057764,0.585,0.726,0.449,0.402,0.256,0.1966,228645,98,E,0,Global
Dream Moon 165,Billie Eilish,2022,2,Hip-Hop,6529019,0.314,0.837,0.515,0.221,0.201,0.01,202747,125,B,1,Asia
Shadow Stars 137,Beyonce,2014,5,Pop,26392538,0.816,0.936,0.722,0.324,0.072,0.0389,210931,91,A#,1,Asia
Sun Sun 195(Remix),Post Malone,2015,7,Pop,34810316,0.663,0.396,0.746,0.533,0.261,0.0455,197211,130,F#,1,Africa
Night Sun 76,Dua Lipa,2004,8,Indie,27611039,0.61,0.693,0.187,0.239,0.161,0.0015,228988,101,F,0,Oceania
Night Stars 176(Remix),Billie Eilish,1998,12,Latin,1609919,0.983,0.484,0.329,0.224,0.023,0.0267,237413,79,G#,1,Europe
Moon Heart 329,Imagine Dragons,2015,8,Electronic,6484047,0.625,0.914,0.6,0.441,0.113,0.08,181738,99,C#,1,Oceania
Sun Shadow 536Part II,Drake,2004,6,R&B,3176881,0.628,1.0,0.327,0.583,0.086,0.0394,205867,80,D#,0,North America
Rain Fire 548(Remix),Ariana Grande,1999,1,Hip-Hop,5627304,0.535,0.557,0.554,0.256,0.072,0.0119,256683,114,B,0,South America
Rain Heart 70Part II,Imagine Dragons,1997,9,Pop,7428894,0.569,0.447,0.384,0.252,0.264,0.0572,166504,87,C#,1,Africa
Rain Dream 561,Taylor Swift,1992,5,Hip-Hop,12828302,0.54,0.793,0.441,0.252,0.025,0.1525,233101,140,G#,0,South America
Moon Dream 589(Remix),BTS,2013,4,Latin,2291004,0.662,0.566,0.404,0.305,0.011,0.0234,171981,107,A#,1,North America
Rain Moon 81,Billie Eilish,2010,4,Rock,15247918,0.56,0.455,0.619,0.241,0.152,0.0197,239780,126,E,0,Global
Fire Rain 316,Justin Bieber,1993,8,Indie,1346339,0.713,0.376,0.495,0.022,0.042,0.3672,192404,106,D,1,Global
Stars Stars 304(Remix),Imagine Dragons,2001,6,Latin,7144246,0.905,0.684,0.402,0.29,0.03,0.225,216297,104,C#,0,Asia
Rain Night 6 (feat. X),Coldplay,1996,8,Indie,17201166,0.477,0.644,0.549,0.133,0.147,0.1129,200930,109,D#,0,Europe
Stars Rain 423,Indie Artist 51,2006,7,Indie,2091001,0.537,0.858,0.134,0.028,0.25,0.0073,198465,68,G,0,Global
Stars Fire 374Part II,Taylor Swift,2010,6,Rock,13331153,0.723,0.565,0.559,0.433,0.001,0.0224,231879,83,A,1,Asia
Rain Light 429,Billie Eilish,1996,4,Rock,13517166,0.69,0.855,0.559,0.224,0.242,0.0773,171056,126,A,0,Asia
Shadow Fire 537,Beyonce,2023,8,Country,17730908,0.556,0.727,0.468,0.137,0.158,0.0262,208441,115,F,0,Africa
Rain Stars 312,Bad Bunny,2006,3,Country,5797834,0.489,0.562,0.785,0.209,0.145,0.2307,198703,107,B,0,Europe
Moon Rain 238 (feat. X),Ariana Grande,2014,11,Country,1648406,0.581,0.752,0.477,0.202,0.284,0.0128,207955,114,B,0,Europe
Moon Fire 559,Imagine Dragons,1997,5,Hip-Hop,13012627,0.445,0.625,0.673,0.459,0.099,0.1148,189869,88,C,0,South America
Love Dance 432(Remix),Coldplay,2010,8,Latin,3667930,0.475,0.681,0.235,0.52,0.177,0.0039,239291,128,F,0,Europe
Rain Dream 286 - Live,Ariana Grande,1994,4,Indie,7169768,0.713,0.718,0.694,0.171,0.095,0.0056,185534,101,F,0,South America
Dream Moon 426,Imagine Dragons,2018,6,Pop,16457100,0.848,0.889,0.681,0.068,0.07,0.1262,185653,116,A#,1,Asia
Rain Shadow 598,BTS,2006,2,Indie,9716416,0.755,0.577,0.218,0.177,0.02,0.1711,176589,106,G#,1,North America
Love Rain 361 - Live,Drake,2002,5,Indie,24203555,0.692,0.677,0.28,0.247,0.014,0.035,204200,139,C,0,South America
Dream Moon 73,Dua Lipa,2007,2,R&B,1113286,0.672,0.354,0.538,0.217,0.186,0.0311,214226,74,B,0,Europe
Fire Shadow 39,Billie Eilish,1991,1,Latin,268463,0.58,0.234,0.646,0.548,0.022,0.0465,207024,85,E,1,Oceania
Stars Stars 155(Remix),Justin Bieber,2000,3,Indie,7640300,0.781,0.74,0.593,0.387,0.15,0.0316,201895,121,D,0,Global
Love Night 218,Post Malone,2017,6,R&B,3974064,0.174,0.693,0.456,0.282,0.008,0.0412,221799,114,D,1,North America
Fire Light 370,Beyonce,1990,1,Pop,10881511,0.564,0.684,0.604,0.155,0.249,0.0199,246493,62,C,0,North America
Sun Heart 210,Shawn Mendes,2006,8,Latin,13441324,0.58,0.891,0.436,0.579,0.012,0.0304,226449,111,C#,1,Africa
Dream Light 235Part II,Ed Sheeran,2001,9,R&B,7483126,0.607,0.673,0.643,0.286,0.175,0.0671,210972,107,G,1,South America
Heart Fire 546 (feat. X),Post Malone,2001,12,Electronic,37183738,0.289,0.563,0.387,0.107,0.123,0.0731,192809,128,G,1,South America
Sun Moon 60Part II,Post Malone,2009,12,Country,58179159,0.605,0.531,0.593,0.115,0.138,0.0306,249392,131,G,1,North America
Sun Light 300Part II,Drake,1996,2,Indie,3115679,0.575,0.895,0.463,0.184,0.087,0.035,173742,118,C,0,North America
Dream Heart 259,Justin Bieber,2020,5,Hip-Hop,1627112,0.639,0.784,0.46,0.072,0.161,0.0197,177141,60,G#,1,Africa
Rain Heart 280,Ed Sheeran,1992,10,Hip-Hop,18325926,0.659,0.682,0.184,0.27,0.063,0.0275,233941,86,A,0,North America
Fire Dream 228,Billie Eilish,2010,8,Country,6243347,0.599,0.812,0.225,0.287,0.262,0.0237,207455,140,G#,1,Europe
Dream Rain 11 - Live,Bruno Mars,1999,7,Indie,1759350,0.34,0.86,0.677,0.13,0.196,0.0142,220997,91,D#,1,South America
Fire Fire 412,Billie Eilish,1998,4,Latin,14493405,0.661,0.416,0.289,0.48,0.032,0.0266,245446,152,B,1,Europe
Fire Heart 83,Justin Bieber,2019,9,Electronic,3929989,0.679,0.848,0.703,0.034,0.327,0.1395,235026,123,D#,1,Asia
Night Moon 90,Shawn Mendes,2016,10,R&B,11235020,0.738,0.502,0.529,0.164,0.037,0.001,215059,118,A#,0,North America
Shadow Dance 208Part II,Bad Bunny,2010,3,Hip-Hop,2609785,0.749,0.402,0.205,0.089,0.2,0.0247,215266,115,F,1,South America
Moon Dream 538,Adele,2017,3,Rock,1261166,0.511,0.829,0.477,0.253,0.163,0.0218,159959,96,F#,0,Global
Dream Night 335,Shawn Mendes,1996,5,Latin,1212781,0.705,0.578,0.829,0.548,0.055,0.0032,280134,92,C,0,Global
Stars Fire 79 (feat. X),BTS,2014,8,Country,20718617,0.599,0.836,0.386,0.038,0.213,0.052,197167,103,C#,1,North America
Dance Moon 434,The Weeknd,1991,5,R&B,6828561,0.699,0.529,0.819,0.447,0.038,0.0133,233521,117,F,1,Oceania
Moon Love 140Part II,Bad Bunny,2001,3,Latin,10316157,0.647,0.736,0.622,0.116,0.09,0.0803,242729,129,D,0,Oceania
Fire Dance 281 - Live,Indie Artist 93,2021,4,Pop,7392943,0.417,0.676,0.492,0.043,0.467,0.0,194892,106,F,1,North America
Shadow Shadow 268 (feat. X),Drake,2017,3,Electronic,11198685,0.667,0.51,0.41,0.305,0.015,0.097,204483,113,G#,0,Global
Rain Shadow 414,Drake,1999,1,Rock,30040732,0.652,0.535,0.625,0.518,0.232,0.0049,113518,144,A,1,Global
Love Rain 199 - Live,Bruno Mars,2007,5,Pop,18448975,0.862,0.692,0.403,0.057,0.067,0.315,197740,95,C,0,Europe
Sun Fire 464Part II,BTS,2013,1,Latin,22404460,0.454,0.356,0.53,0.205,0.152,0.1163,172014,145,B,1,North America
Stars Dream 575,Billie Eilish,1998,6,Indie,9429381,0.559,0.625,0.6,0.22,0.049,0.0205,258705,88,F#,0,Africa
Shadow Stars 584,The Weeknd,2007,3,Hip-Hop,23091060,0.399,0.71,0.614,0.4,0.041,0.0197,184205,135,A#,1,Global
Heart Dream 371 - Live,Dua Lipa,1991,4,Rock,7046283,0.703,0.793,0.646,0.169,0.096,0.0641,220001,60,C,1,Europe
Stars Light 399 - Live,Bad Bunny,2006,10,Pop,6315264,0.904,0.971,0.276,0.23,0.138,0.0317,202288,115,F,0,North America
Fire Love 340,Adele,2013,12,R&B,14126564,0.745,0.545,0.154,0.376,0.126,0.0119,208792,72,F,1,Europe
Dance Heart 148,Billie Eilish,2020,6,Electronic,6266781,0.521,0.246,0.402,0.158,0.287,0.1035,192333,93,B,0,Asia
Night Love 494,Post Malone,2009,5,Pop,5190527,0.747,0.53,0.848,0.313,0.14,0.0106,260311,100,D,0,North America
Moon Heart 439,Post Malone,2015,11,Electronic,64241,0.645,0.734,0.652,0.258,0.105,0.0871,204760,137,C#,0,South America
Stars Moon 145 - Live,Drake,1993,11,Latin,2840721,0.573,0.321,0.402,0.346,0.088,0.0113,198617,116,C#,0,South America
Shadow Stars 9 (feat. X),Coldplay,2007,6,Pop,32388220,0.589,0.549,0.559,0.102,0.253,0.2475,177971,107,C,0,Oceania
Fire Light 375,Shawn Mendes,2020,1,Pop,6498131,0.563,0.534,0.502,0.075,0.057,0.0328,203993,137,D#,0,Asia
Light Moon 523 - Live,Justin Bieber,2017,3,Electronic,18167471,0.204,0.45,0.243,0.24,0.048,0.0001,228705,146,A,1,Asia
Heart Love 188,Taylor Swift,2023,2,Rock,1743324,0.226,0.426,0.826,0.236,0.007,0.0017,257833,134,G#,1,Asia
Moon Heart 131 (feat. X),BTS,2013,4,Hip-Hop,2097461,0.839,0.422,0.607,0.079,0.067,0.0001,222748,105,A#,1,Africa
Heart Shadow 572 (feat. X),Dua Lipa,1992,9,Hip-Hop,43943409,0.74,0.648,0.243,0.345,0.198,0.1272,268088,98,D,1,Africa
Dream Stars 298(Remix),Ed Sheeran,1991,5,Indie,12372668,0.703,0.49,0.489,0.471,0.029,0.0044,206953,100,D#,0,Global
Light Moon 586,Dua Lipa,2021,1,R&B,10027337,0.431,0.829,0.188,0.522,0.047,0.0485,183138,78,G,1,North America
Shadow Stars 446,The Weeknd,2013,12,Electronic,15605511,0.551,0.957,0.189,0.046,0.089,0.0001,215306,116,C#,0,North America
Heart Light 84,Dua Lipa,1995,5,Country,7109972,0.885,0.799,0.476,0.402,0.074,0.2213,181936,131,F,1,Europe
Moon Moon 592,The Weeknd,2019,8,Latin,233028,0.417,0.513,0.278,0.239,0.051,0.0519,148362,115,A#,1,Europe
Stars Night 177,Bad Bunny,2021,11,Electronic,19924001,0.838,0.703,0.78,0.061,0.038,0.0737,252776,98,A#,0,Europe
Stars Night 153 (feat. X),Indie Artist 45,1993,9,Indie,232095,0.615,0.833,0.356,0.289,0.179,0.1892,181119,90,E,0,Oceania
Dance Night 452 - Live,The Weeknd,2021,7,Indie,3225336,0.559,0.705,0.556,0.413,0.036,0.0537,185190,113,A,1,Asia
Light Love 196Part II,BTS,2015,11,Rock,3489277,0.731,0.588,0.515,0.249,0.027,0.0021,217943,117,C#,1,Africa
Night Light 75 (feat. X),Coldplay,2014,9,Pop,37651593,0.454,0.439,0.571,0.147,0.04,0.0007,137272,127,E,0,Europe
Rain Moon 92,Ariana Grande,1992,4,Rock,1575024,0.306,0.732,0.671,0.48,0.26,0.1326,205970,126,C,0,Africa
Night Dance 296 (feat. X),The Weeknd,1993,1,Hip-Hop,28763486,0.316,0.656,0.262,0.175,0.128,0.0056,236345,94,F#,1,South America
Love Heart 68,Indie Artist 17,2007,7,Hip-Hop,11390093,0.567,0.55,0.561,0.315,0.1,0.1706,178835,120,A,0,Africa
Love Light 15,Bruno Mars,2014,11,Hip-Hop,10149380,0.393,0.348,0.613,0.173,0.14,0.002,232661,120,E,0,Oceania
Rain Dance 204,Justin Bieber,2011,8,R&B,2090523,0.36,0.439,0.603,0.443,0.025,0.021,206288,121,B,1,Africa
Shadow Night 158Part II,Ed Sheeran,1994,8,Country,2272500,0.338,0.705,0.487,0.329,0.31,0.2014,171385,82,G,1,South America
Light Dream 88,Justin Bieber,2012,5,Pop,16331913,0.944,0.619,0.479,0.249,0.159,0.0105,200723,94,G,0,South America
Light Shadow 497(Remix),Justin Bieber,1993,11,Indie,1373627,0.129,0.743,0.599,0.373,0.091,0.0015,204028,113,F#,1,Oceania
Night Shadow 117,Ariana Grande,2003,5,R&B,3142872,0.447,0.819,0.664,0.134,0.172,0.1218,158396,111,C#,1,Africa
Stars Heart 382(Remix),Bruno Mars,1999,5,Rock,8124356,0.742,0.61,0.584,0.183,0.026,0.1687,197080,126,G#,1,Asia
Dream Stars 405,Shawn Mendes,1991,3,Electronic,997829,0.329,0.714,0.476,0.154,0.22,0.0159,251863,104,C#,0,Europe
Moon Fire 33,Beyonce,2016,11,Hip-Hop,3273949,0.555,0.455,0.299,0.104,0.093,0.0299,214993,119,A,0,Asia
Love Light 0Part II,Beyonce,1992,2,R&B,9094907,0.922,0.714,0.095,0.291,0.01,0.0018,238361,135,D#,0,Africa
Night Dance 593Part II,Coldplay,2007,5,Latin,24011133,0.51,0.458,0.545,0.467,0.075,0.0465,183400,90,F,1,North America
Light Light 531,Bad Bunny,2001,8,Rock,46619177,0.504,0.774,0.59,0.453,0.058,0.0009,230138,124,F,0,Oceania
Night Light 353 (feat. X),Imagine Dragons,2015,5,Electronic,787726,0.646,0.679,0.48,0.038,0.011,0.0184,185345,121,C#,0,Europe
Heart Dream 332,Imagine Dragons,2016,5,R&B,13281624,0.93,0.536,0.522,0.393,0.081,0.0822,262981,165,A#,0,Asia
Heart Shadow 534,The Weeknd,2020,4,Latin,16790777,0.291,0.744,0.675,0.197,0.119,0.0467,239978,131,F,0,Asia
Rain Fire 244Part II,Indie Artist 36,2011,8,Country,3489406,0.568,0.668,0.638,0.268,0.207,0.0014,250757,102,E,0,Europe
Fire Night 22(Remix),Ed Sheeran,2023,11,Rock,21908617,0.608,0.797,0.162,0.344,0.04,0.0401,164917,104,F,0,Europe
Rain Shadow 440(Remix),Justin Bieber,2021,11,Electronic,6328495,0.267,1.0,0.799,0.281,0.044,0.0742,225270,133,G,0,Europe
Sun Love 116,Shawn Mendes,2019,12,Latin,21681935,0.63,0.822,0.286,0.231,0.005,0.0027,211024,95,C#,0,North America
Dance Stars 89 - Live,Shawn Mendes,2018,2,Country,10184948,0.319,0.621,0.468,0.414,0.13,0.0068,234940,106,C,1,Global
Dance Moon 365,Beyonce,2008,1,R&B,23454733,0.6,0.708,0.527,0.488,0.195,0.0003,192269,118,C,1,Global
Light Dance 211 - Live,Justin Bieber,2016,3,Hip-Hop,3487001,0.742,0.414,0.471,0.464,0.192,0.1803,235927,103,C#,0,Asia
Light Dance 18 (feat. X),Drake,1997,8,R&B,2153335,0.688,0.698,0.707,0.3,0.199,0.0096,236772,111,C#,0,Africa
Light Night 407Part II,Coldplay,2013,7,Pop,6718617,0.565,0.463,0.633,0.436,0.363,0.0607,152724,134,E,0,Global
Night Rain 320 - Live,Taylor Swift,2015,7,Country,4723949,0.51,0.299,0.478,0.414,0.12,0.0004,158455,85,G#,0,Europe
Dance Heart 144,Ed Sheeran,2020,8,Country,26068521,0.693,0.713,0.339,0.134,0.229,0.1235,203824,95,A#,0,Africa
Love Night 289 (feat. X),Post Malone,2005,3,Pop,4327638,0.669,0.838,0.466,0.188,0.091,0.1477,184450,129,A#,0,Asia
Moon Moon 274 (feat. X),Billie Eilish,2022,3,Rock,29193360,0.71,0.697,0.643,0.582,0.012,0.0007,209559,73,A#,1,Europe
Dance Dream 541 - Live,Shawn Mendes,2018,11,R&B,18373233,0.668,0.379,0.476,0.276,0.024,0.0409,222555,100,F#,0,South America
Moon Heart 360Part II,Imagine Dragons,2023,2,Country,14179083,0.687,0.683,0.808,0.359,0.191,0.0267,163383,141,G#,0,Oceania
Dance Shadow 250 - Live,Shawn Mendes,2018,1,Latin,10858715,0.568,0.769,0.827,0.494,0.075,0.1369,193089,118,E,1,Africa
Shadow Shadow 287Part II,Indie Artist 64,2002,3,Country,10191545,0.304,0.465,0.592,0.187,0.027,0.0006,169924,124,E,1,Asia
Sun Dance 528,Indie Artist 34,2011,10,Indie,3265837,0.618,0.634,0.73,0.432,0.352,0.4314,187111,134,D,1,North America
Night Sun 400 (feat. X),Bad Bunny,2001,11,Electronic,4036193,0.703,0.52,0.329,0.131,0.35,0.0754,223101,118,F,0,Africa
Dream Night 167,Billie Eilish,2017,6,Rock,2005411,0.531,0.475,0.269,0.026,0.03,0.0128,232839,87,A#,0,Oceania
Rain Fire 54,Justin Bieber,2001,8,Country,6403996,0.716,0.576,0.468,0.09,0.161,0.0365,211910,112,A,1,Asia
Sun Dance 493,Dua Lipa,2022,7,Latin,3728312,0.809,0.549,0.323,0.258,0.03,0.1711,226996,97,A,1,Oceania
Love Dance 46 - Live,Imagine Dragons,2016,4,Electronic,8002011,0.9,0.306,0.385,0.324,0.223,0.1753,201255,120,D#,1,Europe
Dream Fire 93 - Live,Drake,2003,7,R&B,10472993,0.796,0.301,0.707,0.414,0.029,0.0647,205481,95,G#,0,Global
Dream Sun 264,Bruno Mars,2013,5,Country,35066858,0.777,1.0,0.674,0.39,0.203,0.0275,193972,113,G,0,Africa
Dance Sun 108 - Live,Coldplay,1995,2,R&B,3704136,0.689,0.618,0.81,0.156,0.116,0.1924,254695,102,F#,0,Oceania
Moon Love 272,Beyonce,1992,1,Rock,459480,0.239,0.656,0.856,0.053,0.138,0.0619,246834,141,A,0,Africa
Rain Night 599,Bad Bunny,1990,10,Latin,409622,0.459,0.259,0.468,0.196,0.053,0.0037,182901,119,G,1,Africa
Fire Night 479,Imagine Dragons,2000,8,Hip-Hop,68848,0.43,0.704,0.993,0.17,0.37,0.0178,199814,129,G,1,Oceania
Shadow Fire 436Part II,Coldplay,2012,11,Pop,10146902,1.0,0.438,1.0,0.163,0.063,0.0383,167526,136,A#,1,Oceania
Night Night 383 - Live,BTS,2014,6,Pop,10028803,0.526,0.0,0.418,0.227,0.044,0.0439,217424,109,A#,1,North America
Rain Rain 380 (feat. X),Coldplay,2020,8,Electronic,8215412,0.764,0.455,0.395,0.101,0.37,0.0101,208575,114,F,1,Europe
Rain Moon 462,Post Malone,2006,2,Indie,17339577,0.492,0.625,0.666,0.328,0.05,0.002,218576,113,B,0,Oceania
Love Rain 394(Remix),Coldplay,2019,2,Rock,15968862,0.648,0.516,0.424,0.337,0.162,0.0167,189174,99,G,1,North America
Heart Rain 265 (feat. X),Taylor Swift,2019,7,Hip-Hop,8607769,0.989,0.805,0.409,0.267,0.184,0.002,184428,119,C,0,Global
Night Dance 480,Billie Eilish,1999,7,Hip-Hop,17907651,0.401,0.548,0.803,0.519,0.023,0.1268,225153,145,A#,0,Asia
Love Sun 517 (feat. X),Dua Lipa,1995,1,Hip-Hop,9996884,0.536,0.319,0.231,0.411,0.043,0.0926,239855,128,G#,0,Global
Dream Love 69Part II,Bruno Mars,2011,6,Rock,50135119,0.586,0.585,0.663,0.216,0.096,0.0183,248692,123,F#,1,Asia
Rain Light 231Part II,Bad Bunny,2023,1,Pop,6354260,0.455,0.977,0.198,0.305,0.058,0.0104,203745,98,F#,1,Asia
Rain Light 403,Imagine Dragons,1994,1,R&B,8227374,0.437,0.825,0.718,0.303,0.123,0.0754,188534,132,E,0,Africa
Dance Love 278,Bad Bunny,2022,4,R&B,17447237,0.754,0.69,0.55,0.236,0.181,0.0072,172991,72,F#,1,Asia
Dream Night 472,Ed Sheeran,1998,10,Country,16660709,0.79,0.425,0.477,0.123,0.054,0.0681,191811,97,A,1,North America
Love Heart 350,The Weeknd,2022,2,Indie,2232463,0.288,0.558,0.929,0.034,0.044,0.0304,198968,100,E,0,Africa
Sun Sun 509(Remix),The Weeknd,2019,11,Rock,1384548,0.667,0.55,0.678,0.481,0.068,0.0114,177039,110,A#,0,Africa
